donor_name_e,recipient_name_e,Total bilateral allocable aid,Aid focused on policy objective - volume,Aid focused on policy objective* - share,marker
Iceland,Kazakhstan,0.1078303192,0.1078303192,100%,climate_mitigation
Lithuania,Armenia,0.6193144953,0.1074050475,37.8%,climate_mitigation
Lithuania,Nigeria,0.1705461521,0.1031209626,72.1%,climate_mitigation
Finland,Gambia,0.1907163030,0.0920145059,48.2%,climate_mitigation
Portugal,Mozambique,25.1508442719,0.0908121491,0.4%,climate_mitigation
Finland,Viet Nam,1.2502649338,0.0889915226,7.1%,climate_mitigation
Czechia,West Bank and Gaza Strip,0.9809177407,0.0884990757,9%,climate_mitigation
Slovenia,Serbia,0.9332885629,0.0874727337,14.6%,climate_mitigation
Slovenia,Albania,0.2905440492,0.0874727337,30.1%,climate_mitigation
Czechia,Cambodia,2.5364418595,0.0708110775,2.8%,climate_mitigation
New Zealand,Palau,0.1867605204,0.0690902225,37%,climate_mitigation
Lithuania,Ukraine,3.3737814768,0.0682706699,3.7%,climate_mitigation
Slovak Republic,Afghanistan,0.5765409673,0.0674813744,11.7%,climate_mitigation
Czechia,Ukraine,4.4745134648,0.0673932811,1.5%,climate_mitigation
Portugal,Argentina,0.2732109371,0.0641699826,23.5%,climate_mitigation
Poland,Moldova,2.2217564517,0.0555136918,2.5%,climate_mitigation
Slovak Republic,Montenegro,0.1631887129,0.0531865314,32.6%,climate_mitigation
Portugal,Angola,11.4575719522,0.0460432459,0.4%,climate_mitigation
Iceland,Syrian Arab Republic,1.3887130609,0.0440110194,3.2%,climate_mitigation
Poland,Syrian Arab Republic,1.5634261058,0.0437214512,2.8%,climate_mitigation
Czechia,Armenia,0.5030826251,0.0416310548,8.3%,climate_mitigation
Czechia,Zambia,4.0049957716,0.0396050388,1%,climate_mitigation
Slovak Republic,Moldova,1.1970180072,0.0330146545,2.8%,climate_mitigation
Iceland,Costa Rica,0.0318139830,0.0318139830,100%,climate_mitigation
Czechia,Indonesia,0.1035505774,0.0299820357,29%,climate_mitigation
Lithuania,Belarus,3.2375469730,0.0279881237,2.2%,climate_mitigation
Poland,Senegal,0.4379259576,0.0266314441,6.1%,climate_mitigation
Iceland,Burkina Faso,0.2399114042,0.0249912056,10.4%,climate_mitigation
Poland,Myanmar,0.1741750419,0.0235195757,13.5%,climate_mitigation
Slovak Republic,Ukraine,1.6250550063,0.0230798679,1.4%,climate_mitigation
Lithuania,Moldova,0.2455968550,0.0223893907,16.8%,climate_mitigation
Poland,Sierra Leone,0.0194975632,0.0194975632,100%,climate_mitigation
Lithuania,Côte d'Ivoire,0.0511452244,0.0177501082,100%,climate_mitigation
Portugal,El Salvador,0.0883419808,0.0153193000,17.3%,climate_mitigation
Slovak Republic,North Macedonia,0.4022979643,0.0094620001,2.4%,climate_mitigation
Lithuania,Azerbaijan,0.1902262907,0.0070831750,9.9%,climate_mitigation
Latvia,Uzbekistan,0.2735351244,0.0067000053,2.4%,climate_mitigation
Lithuania,Türkiye,0.9714698606,0.0066780812,1.1%,climate_mitigation
Slovak Republic,Albania,0.4311627282,0.0066002897,1.5%,climate_mitigation
Portugal,Senegal,1.4650932630,0.0064169983,0.4%,climate_mitigation
Portugal,Nicaragua,0.0025269905,0.0025269905,100%,climate_mitigation
Slovenia,Montenegro,0.4749462712,0.0014551089,0.7%,climate_mitigation
Latvia,Ghana,0.0007696072,0.0007696072,100%,climate_mitigation
Latvia,Viet Nam,0.1149865802,0.0007696072,100%,climate_mitigation
All DAC members,India,5 524.2710558172,1 306.0233757724,25.8%,climate_adaptation
All DAC members,Indonesia,2 905.7164984689,1 245.0049398329,43.3%,climate_adaptation
Japan,India,2 800.6615181483,1 116.0759249509,40.2%,climate_adaptation
All DAC members,Philippines,1 698.7077265508,1 038.5800954170,62%,climate_adaptation
All DAC members,Bangladesh,4 144.5254291636,1 034.6195476856,25.1%,climate_adaptation
Japan,Philippines,821.6513824355,777.7394244530,96.8%,climate_adaptation
All DAC members,Myanmar,1 570.1693719920,744.7320025630,48.3%,climate_adaptation
All DAC members,Colombia,2 344.1946930910,678.9222674231,29.3%,climate_adaptation
Japan,Myanmar,838.7781673029,661.0549236076,79.9%,climate_adaptation
Japan,Indonesia,717.9559565841,659.0327263823,92.8%,climate_adaptation
Japan,Bangladesh,2 315.5172231775,592.0558776646,25.6%,climate_adaptation
All DAC members,Ethiopia,3 101.6714047092,563.0231980726,18.5%,climate_adaptation
All DAC members,Morocco,2 119.3643904701,440.6204676493,24.1%,climate_adaptation
All DAC members,Cambodia,963.4852058978,435.0006777037,52.2%,climate_adaptation
All DAC members,Kenya,2 144.6967740970,408.5167061998,20.1%,climate_adaptation
France,Mexico,474.9950581871,343.3346484832,72.5%,climate_adaptation
France,Morocco,613.2158799801,343.1220232529,56.5%,climate_adaptation
Germany,Colombia,701.5048401104,327.9536082739,46.8%,climate_adaptation
France,Indonesia,350.0173139365,314.3693537637,90.4%,climate_adaptation
France,Bangladesh,454.5494692019,286.6372729269,63.6%,climate_adaptation
France,Colombia,383.6417932733,259.4361463897,70.8%,climate_adaptation
France,Brazil,445.0579804542,245.0938254995,55.2%,climate_adaptation
Australia,Papua New Guinea,526.9648251107,228.4210857480,44.1%,climate_adaptation
Germany,Jordan,784.6120200853,228.2968075724,29.1%,climate_adaptation
Germany,China (People's Republic of),492.9097203688,195.9566499755,39.8%,climate_adaptation
France,Mauritius,201.8060510876,188.5379332265,93.5%,climate_adaptation
France,Côte d'Ivoire,556.5479950370,187.4224552104,38.7%,climate_adaptation
Japan,Cambodia,211.9275612075,173.4993737262,84.1%,climate_adaptation
Japan,Türkiye,291.1060805803,162.8008614284,56%,climate_adaptation
Germany,India,1 512.3816163499,154.7875415178,10.2%,climate_adaptation
France,Philippines,325.2412491767,149.5012991836,46%,climate_adaptation
Japan,Kenya,213.2308429780,146.9240008690,73.6%,climate_adaptation
France,Nigeria,345.8492585838,142.8763178838,42%,climate_adaptation
Korea,Egypt,149.1946729801,141.8068454406,95.4%,climate_adaptation
Germany,Albania,193.9211127676,126.1019563946,65.4%,climate_adaptation
Germany,Ethiopia,492.7068111009,123.0802737523,25.1%,climate_adaptation
Korea,Cambodia,215.4896947384,122.8366494012,60.8%,climate_adaptation
United Kingdom,Ethiopia,222.3659645992,120.2271989634,54.5%,climate_adaptation
Germany,Tunisia,550.6237451860,116.0964774563,21.1%,climate_adaptation
Germany,Georgia,312.7964875328,110.7345916028,35.5%,climate_adaptation
Japan,Viet Nam,303.1588203005,105.8029979602,35.7%,climate_adaptation
Australia,Indonesia,275.9572830732,105.4875510063,38.6%,climate_adaptation
Germany,Niger,178.0666123127,97.2989918639,54.7%,climate_adaptation
Germany,Indonesia,1 010.9221350737,96.2039119686,9.5%,climate_adaptation
EU Institutions,Tanzania,197.4323286635,87.8129535985,44.5%,climate_adaptation
United States,Ethiopia,1 482.1851070155,79.2115673828,5.3%,climate_adaptation
EU Institutions,Mozambique,215.9336636651,78.6441065061,36.4%,climate_adaptation
EU Institutions,Türkiye,1 553.5230815283,74.0291885345,6.6%,climate_adaptation
EU Institutions,Serbia,401.3957077529,70.2899143132,30.8%,climate_adaptation
Korea,Ghana,114.2887309468,69.9894042734,61.3%,climate_adaptation
EU Institutions,Mali,203.4229707537,68.3293898457,33.6%,climate_adaptation
EU Institutions,Haiti,86.2511678832,68.0398366611,78.9%,climate_adaptation
United Kingdom,Somalia,119.3024023611,65.1937804328,54.8%,climate_adaptation
Japan,Morocco,67.7354324656,64.2908494656,97.2%,climate_adaptation
EU Institutions,Rwanda,81.4860796641,63.0295706802,77.4%,climate_adaptation
Netherlands,Ethiopia,102.1148964914,62.1643807521,60.9%,climate_adaptation
EU Institutions,Democratic Republic of the Congo,198.8847610283,60.6456101399,30.5%,climate_adaptation
United Kingdom,Nepal,81.4484976613,60.1906877789,74.8%,climate_adaptation
EU Institutions,Malawi,67.4824979707,59.6173065450,92.4%,climate_adaptation
Australia,Vanuatu,78.1074685750,56.9704867783,73.1%,climate_adaptation
Korea,Colombia,70.3772654148,45.8299962890,70.9%,climate_adaptation
EU Institutions,Tunisia,318.3338093839,45.6652439377,33.1%,climate_adaptation
Korea,Dominican Republic,51.3689302429,45.4009071897,89%,climate_adaptation
Australia,Solomon Islands,126.8157915357,44.3317262163,36.6%,climate_adaptation
United States,Nigeria,1 183.4943288118,39.2284303716,3.3%,climate_adaptation
United Kingdom,Bangladesh,48.6633339622,38.4284285271,82.7%,climate_adaptation
United Kingdom,Pakistan,86.1647063893,35.5585415332,45.9%,climate_adaptation
Korea,Philippines,170.5722422985,35.2367382037,20.9%,climate_adaptation
Australia,Fiji,92.8468517466,34.9297484154,39.3%,climate_adaptation
Netherlands,Guinea,34.7229687453,34.7229687453,100%,climate_adaptation
Netherlands,Mali,74.7715548322,33.7690588513,45.2%,climate_adaptation
United States,Madagascar,190.7136735037,33.7249244479,17.7%,climate_adaptation
Canada,Mali,132.3467192395,33.4037181648,25.3%,climate_adaptation
Korea,Indonesia,205.2163156628,32.9464273419,17%,climate_adaptation
Austria,Serbia,33.0234640780,31.9028167090,96.6%,climate_adaptation
United States,Philippines,199.5663719929,30.3977900131,15.2%,climate_adaptation
Korea,Viet Nam,98.6806235063,29.1496490851,35.7%,climate_adaptation
Korea,Madagascar,32.3549223061,28.2591597329,87.3%,climate_adaptation
United States,Tanzania,641.1019102030,25.9453369918,4%,climate_adaptation
Australia,Cambodia,63.5448108152,25.5538985097,40.2%,climate_adaptation
Norway,Malawi,97.8993915888,24.7047461325,25.2%,climate_adaptation
Australia,Viet Nam,71.7469917462,23.9655548310,33.8%,climate_adaptation
Denmark,Burkina Faso,52.3195689827,22.9785051134,51.8%,climate_adaptation
Switzerland,Lao People's Democratic Republic,32.9741270375,22.9390659305,69.6%,climate_adaptation
Norway,Ethiopia,81.3536094818,21.9618290029,27%,climate_adaptation
Switzerland,Niger,40.7158712398,21.9559916782,53.9%,climate_adaptation
Netherlands,Burundi,41.8169852771,21.9289787295,52.4%,climate_adaptation
Belgium,Democratic Republic of the Congo,146.3344607152,21.1996495946,16.6%,climate_adaptation
Italy,Mozambique,32.5989644928,20.6725725166,69.6%,climate_adaptation
United Kingdom,Ghana,36.2298798314,19.9284663752,62.1%,climate_adaptation
Australia,Timor-Leste,93.0192510488,19.7522806418,22.4%,climate_adaptation
Netherlands,Uganda,36.6904154917,19.4210077407,52.9%,climate_adaptation
Netherlands,South Sudan,44.4089151967,19.0587418768,42.9%,climate_adaptation
Canada,Bangladesh,88.7275244146,18.9390499899,21.3%,climate_adaptation
Switzerland,Benin,50.2828845390,18.4627272440,36.7%,climate_adaptation
United States,Senegal,420.2030900432,18.2414111796,4.3%,climate_adaptation
Ireland,Ethiopia,48.9855858430,17.6843495745,36.7%,climate_adaptation
Sweden,Mozambique,29.6284407958,17.2533019146,58.2%,climate_adaptation
United Kingdom,Tanzania,35.7343556525,17.0304026248,49.2%,climate_adaptation
United States,Bangladesh,552.5052003636,17.0133838922,3.1%,climate_adaptation
Netherlands,Niger,46.6509472287,16.9442347411,36.3%,climate_adaptation
Denmark,Kenya,155.4704202983,16.8997292101,10.9%,climate_adaptation
United States,Mozambique,668.1958030794,16.7083339765,2.5%,climate_adaptation
Australia,Kiribati,26.6126696596,15.9909996667,60.8%,climate_adaptation
Korea,El Salvador,27.5485787297,15.8792176257,58.3%,climate_adaptation
United States,Malawi,371.7992317352,15.8132717563,4.3%,climate_adaptation
United States,Kenya,856.2475079054,15.6782149212,1.8%,climate_adaptation
Australia,Afghanistan,51.3937803044,15.6489695182,30.5%,climate_adaptation
Sweden,Mali,45.2578128674,15.5250943044,34.3%,climate_adaptation
Denmark,Mali,47.9249929951,15.4979014013,34.1%,climate_adaptation
Netherlands,Bangladesh,22.7043849947,15.3160859783,67.5%,climate_adaptation
New Zealand,Solomon Islands,33.9777996560,15.1907648827,44.7%,climate_adaptation
Sweden,Bolivia,34.0180689463,15.1481496746,44.7%,climate_adaptation
Switzerland,Chad,29.2782820708,14.8025675695,50.6%,climate_adaptation
Italy,West Bank and Gaza Strip,30.5131836751,14.5062629376,49.8%,climate_adaptation
Canada,Ghana,57.1211737722,14.4539189851,25.3%,climate_adaptation
Netherlands,Democratic Republic of the Congo,33.2426390552,14.4255689165,43.4%,climate_adaptation
United Kingdom,Nigeria,109.4438214144,14.2557231613,13.6%,climate_adaptation
Ireland,Malawi,23.6969323165,13.5552330355,58.9%,climate_adaptation
Norway,Mozambique,66.6759012189,13.4456484531,20.2%,climate_adaptation
Switzerland,Viet Nam,26.5547214231,13.2785040784,50%,climate_adaptation
Switzerland,Nepal,63.0383120593,12.8085767954,20.3%,climate_adaptation
Sweden,Guatemala,18.0645510639,12.4458296213,68.9%,climate_adaptation
Belgium,Mozambique,22.3616218298,12.2865503457,75%,climate_adaptation
Netherlands,Somalia,26.0745101049,12.2377891799,46.9%,climate_adaptation
United Kingdom,Rwanda,18.5004610830,11.9221516270,65.7%,climate_adaptation
Canada,Burkina Faso,59.6056827627,11.8031361002,20.1%,climate_adaptation
United Kingdom,Kenya,30.5413386889,11.4916936542,45.7%,climate_adaptation
Norway,South Sudan,94.0686029858,11.3872508357,12.1%,climate_adaptation
Switzerland,Bosnia and Herzegovina,23.6220148488,11.3120710310,47.9%,climate_adaptation
Italy,Afghanistan,65.4309953931,11.2101186112,22.8%,climate_adaptation
Belgium,Mali,18.7554696075,11.2000971276,65.3%,climate_adaptation
Belgium,Burundi,44.7288905154,11.1818565291,27%,climate_adaptation
Norway,Niger,21.9737066593,11.0537930727,50.3%,climate_adaptation
Canada,Ethiopia,69.1346299625,10.8683100234,15.7%,climate_adaptation
Switzerland,Burkina Faso,26.3505134471,10.5465320654,40%,climate_adaptation
Italy,Senegal,21.3485564148,10.4317247509,51.1%,climate_adaptation
Switzerland,Peru,25.4788923262,10.2716025299,40.3%,climate_adaptation
Canada,Tanzania,65.0109506851,10.2090155144,15.7%,climate_adaptation
Belgium,Uganda,45.8039922934,10.0741467607,30.2%,climate_adaptation
Canada,Senegal,70.1098485021,9.9010085234,14.1%,climate_adaptation
New Zealand,Timor-Leste,25.9398081455,9.5990891245,37%,climate_adaptation
Italy,Tunisia,38.6965008564,9.4208630252,30.6%,climate_adaptation
Sweden,Syrian Arab Republic,61.4234263815,9.2999759813,16.3%,climate_adaptation
Sweden,Somalia,85.1330060212,8.9495292122,10.5%,climate_adaptation
Italy,Ethiopia,41.5698236292,8.9323325478,26.1%,climate_adaptation
Norway,Tanzania,56.0233307761,8.7908316835,15.7%,climate_adaptation
Sweden,Colombia,26.8285405606,8.7563681700,32.8%,climate_adaptation
Switzerland,Albania,32.1365694961,8.4837880661,26.4%,climate_adaptation
Norway,Indonesia,47.2414038632,8.2677449447,17.5%,climate_adaptation
New Zealand,Papua New Guinea,26.9006991804,7.8831120014,29.3%,climate_adaptation
Denmark,Ethiopia,71.0992145682,7.8248862282,11.5%,climate_adaptation
Canada,Indonesia,17.3032113969,7.4373955423,43%,climate_adaptation
Norway,Peru,15.3385960019,7.3682762266,48%,climate_adaptation
Italy,Mali,13.0150764783,7.2580839265,59.1%,climate_adaptation
Belgium,Tanzania,11.3758249528,7.2346086179,81.1%,climate_adaptation
Austria,Mozambique,19.8005558740,7.1619333599,36.2%,climate_adaptation
Sweden,Kenya,19.2136952418,7.0312280934,36.6%,climate_adaptation
Canada,Tunisia,10.2058996194,6.9828683509,68.5%,climate_adaptation
Sweden,Burkina Faso,20.0345812843,6.9722466989,34.9%,climate_adaptation
Italy,Somalia,28.4279881723,6.7929965814,26.7%,climate_adaptation
Belgium,Burkina Faso,35.1973561561,6.7097568183,28.8%,climate_adaptation
Belgium,West Bank and Gaza Strip,68.3720290937,6.6321190649,26.9%,climate_adaptation
Italy,Lebanon,28.5779025949,6.5538606370,31.1%,climate_adaptation
Norway,Democratic Republic of the Congo,46.0941237942,6.4307175867,14%,climate_adaptation
New Zealand,Vanuatu,24.1889263456,6.4034665323,26.5%,climate_adaptation
Denmark,Bangladesh,14.9301594277,6.2888008924,42.1%,climate_adaptation
Belgium,Senegal,14.7920184867,6.2443038344,46.6%,climate_adaptation
Sweden,Afghanistan,27.8009544871,6.1461892396,22.3%,climate_adaptation
Belgium,South Africa,13.9092136014,5.9133923464,51.2%,climate_adaptation
New Zealand,Fiji,26.6896546352,5.7448523309,21.5%,climate_adaptation
Spain,Bolivia,31.8202794423,5.4315754315,17.1%,climate_adaptation
Spain,Senegal,21.7178332554,5.2123487376,24%,climate_adaptation
Italy,South Sudan,6.8341864130,5.0942754206,76.1%,climate_adaptation
Luxembourg,Burkina Faso,32.5169125724,4.7020919405,25.9%,climate_adaptation
Finland,Ethiopia,22.7123080414,4.6995569726,20.7%,climate_adaptation
New Zealand,Myanmar,19.7183372387,4.6859978917,23.8%,climate_adaptation
Luxembourg,Mali,23.2968083435,4.6603207083,41.8%,climate_adaptation
Spain,Guatemala,31.8320183504,4.6400515643,14.6%,climate_adaptation
Spain,El Salvador,27.7380409282,4.4287242389,16%,climate_adaptation
Denmark,Uganda,35.7301335947,4.3570256754,12.3%,climate_adaptation
Norway,Colombia,76.4795011419,4.3507809933,5.7%,climate_adaptation
Spain,Peru,32.2893084570,4.3432336859,13.5%,climate_adaptation
Austria,Uganda,21.1066026797,4.2654157164,20.2%,climate_adaptation
Spain,Ecuador,30.4520442325,4.0958881745,13.5%,climate_adaptation
Austria,Moldova,7.1578943850,4.0566501855,56.7%,climate_adaptation
Denmark,Lebanon,34.0682629380,4.0231344156,11.8%,climate_adaptation
Finland,Nepal,18.2242022482,3.8956193615,21.4%,climate_adaptation
Spain,Mozambique,13.0223862343,3.7502929027,28.8%,climate_adaptation
Czechia,Ethiopia,6.3093278456,3.7229870464,59%,climate_adaptation
Canada,Guatemala,15.1096024942,3.5707687102,24.2%,climate_adaptation
Ireland,Sudan,7.3417747297,3.4330143040,46.8%,climate_adaptation
Ireland,Tanzania,29.0143408175,3.2587041647,12.9%,climate_adaptation
Ireland,Viet Nam,6.5775722736,3.1959906625,51.4%,climate_adaptation
Ireland,Sierra Leone,18.5278890795,3.0784949971,16.9%,climate_adaptation
Ireland,Uganda,28.1960065784,3.0008730228,16.8%,climate_adaptation
Spain,Nicaragua,22.5888800978,2.9831171277,13.2%,climate_adaptation
Ireland,Mozambique,31.7011834350,2.9634133816,10.1%,climate_adaptation
Denmark,Rwanda,6.5242483127,2.9618749442,45.4%,climate_adaptation
Denmark,Niger,15.5424467034,2.8904693823,18.6%,climate_adaptation
New Zealand,Samoa,20.9057591659,2.8594850256,13.7%,climate_adaptation
Denmark,Mozambique,9.3649198140,2.7956838124,46.5%,climate_adaptation
New Zealand,Viet Nam,5.5250366645,2.7796463307,50.3%,climate_adaptation
Iceland,Malawi,8.4592543345,2.7644594735,32.7%,climate_adaptation
Finland,Myanmar,12.6503091734,2.7313665666,22%,climate_adaptation
Finland,Tanzania,16.4070129046,2.6883575855,16.4%,climate_adaptation
Spain,Honduras,15.9484857938,2.6095104655,16.4%,climate_adaptation
Spain,Colombia,68.4300054594,2.5602516818,3.7%,climate_adaptation
New Zealand,Kiribati,32.1794413565,2.5184259284,7.8%,climate_adaptation
New Zealand,Rwanda,2.5379977701,2.4455442855,96.4%,climate_adaptation
Ireland,Kenya,10.6888763177,2.4107386572,26.4%,climate_adaptation
Ireland,South Sudan,11.6618757984,2.2315015931,19.4%,climate_adaptation
Poland,Albania,2.2044012455,2.1289415234,96.6%,climate_adaptation
Austria,Ethiopia,14.2130337054,2.1084438683,14.8%,climate_adaptation
Austria,Uzbekistan,2.4876378301,2.0979039633,84.3%,climate_adaptation
Iceland,Uganda,8.0038750801,1.9929679575,24.9%,climate_adaptation
Finland,Uzbekistan,1.8553886374,1.8553886374,100%,climate_adaptation
Austria,Lao People's Democratic Republic,3.3769676074,1.7445833766,51.7%,climate_adaptation
Austria,Armenia,4.3688963996,1.5948916280,36.5%,climate_adaptation
Austria,Nicaragua,1.9526049232,1.5217815943,77.9%,climate_adaptation
Austria,Egypt,1.5955838841,1.5133177293,94.8%,climate_adaptation
Luxembourg,Myanmar,5.7947229923,1.3529605360,48.1%,climate_adaptation
Finland,Zambia,2.5928320152,1.2605171441,48.6%,climate_adaptation
Finland,Ukraine,9.4308620937,1.1970249274,13.4%,climate_adaptation
Iceland,Sierra Leone,2.4555027381,0.9429013742,38.4%,climate_adaptation
Lithuania,Georgia,1.5097728026,0.9014358529,78.5%,climate_adaptation
Poland,Kenya,3.4120104894,0.8384207732,24.6%,climate_adaptation
Poland,Ukraine,42.4671200156,0.8032137290,1.9%,climate_adaptation
Czechia,Zambia,4.0049957716,0.7088078841,17.7%,climate_adaptation
Portugal,Cabo Verde,13.4973593883,0.7008645536,5.2%,climate_adaptation
Luxembourg,Bangladesh,5.0397472421,0.6246936584,15.3%,climate_adaptation
Finland,Tajikistan,1.1428421619,0.5985124637,52.4%,climate_adaptation
Finland,Kyrgyzstan,1.0765697186,0.5551541854,51.6%,climate_adaptation
Luxembourg,Niger,36.1227727477,0.4824821796,2.6%,climate_adaptation
Poland,Lebanon,3.4711090260,0.4663354198,13.4%,climate_adaptation
Finland,Sudan,2.2083481407,0.3680580234,16.7%,climate_adaptation
Iceland,Liberia,0.4050639509,0.3501800810,86.5%,climate_adaptation
Poland,Tanzania,7.8136358874,0.3266637519,4.2%,climate_adaptation
Poland,Moldova,2.2217564517,0.3196235462,14.4%,climate_adaptation
Iceland,Ethiopia,0.8038023674,0.3158147552,39.3%,climate_adaptation
Poland,Georgia,3.6619078039,0.3156590668,8.6%,climate_adaptation
Czechia,Georgia,4.8993140340,0.3133164737,6.4%,climate_adaptation
Portugal,Mozambique,25.1508442719,0.2943324401,1.2%,climate_adaptation
Portugal,Colombia,0.8146681118,0.2766579713,34%,climate_adaptation
Luxembourg,Benin,1.6155963620,0.2717210102,24.7%,climate_adaptation
Czechia,Moldova,6.9143744772,0.2674807865,3.9%,climate_adaptation
Luxembourg,Burundi,0.5500560251,0.2490111076,47.2%,climate_adaptation
Luxembourg,Democratic Republic of the Congo,3.9664947541,0.2473679986,9.3%,climate_adaptation
Poland,Jordan,0.9619180768,0.2332524006,24.2%,climate_adaptation
Luxembourg,Lao People's Democratic Republic,21.7412482172,0.2296643806,2.2%,climate_adaptation
Portugal,Timor-Leste,16.6948387700,0.2235085415,1.3%,climate_adaptation
Luxembourg,Ethiopia,2.8432312988,0.2139591246,11.3%,climate_adaptation
Slovenia,Georgia,0.2477572727,0.1838331251,74.2%,climate_adaptation
Portugal,Guinea-Bissau,8.9508366437,0.1779384764,2%,climate_adaptation
Slovenia,Rwanda,0.1618549294,0.1618549294,100%,climate_adaptation
Slovenia,Sudan,0.1618549294,0.1618549294,100%,climate_adaptation
Slovenia,Uganda,0.8549654817,0.1618549294,18.9%,climate_adaptation
Poland,Sudan,0.2541442560,0.1501369198,59.1%,climate_adaptation
Czechia,Niger,1.2041305839,0.1320167960,11%,climate_adaptation
Czechia,Cambodia,2.5364418595,0.1240549819,4.9%,climate_adaptation
Iceland,Burkina Faso,0.2399114042,0.1227468094,51.2%,climate_adaptation
Slovak Republic,Kenya,1.8456838983,0.1223977417,6.6%,climate_adaptation
Lithuania,Mali,0.1925257389,0.1216939886,100%,climate_adaptation
Iceland,South Sudan,0.2086514545,0.1206294158,57.8%,climate_adaptation
Poland,Myanmar,0.1741750419,0.1130704230,64.9%,climate_adaptation
Slovak Republic,Georgia,1.3281728242,0.1083576349,8.2%,climate_adaptation
Lithuania,Nigeria,0.1705461521,0.1031209626,72.1%,climate_adaptation
Czechia,Bosnia and Herzegovina,6.5146526155,0.0920484042,1.4%,climate_adaptation
Lithuania,Armenia,0.6193144953,0.0908478751,32%,climate_adaptation
Portugal,Angola,11.4575719522,0.0876347521,0.8%,climate_adaptation
Slovenia,Serbia,0.9332885629,0.0874727337,12.7%,climate_adaptation
Slovenia,Bosnia and Herzegovina,1.4589423433,0.0775199925,5.8%,climate_adaptation
Czechia,West Bank and Gaza Strip,0.9809177407,0.0752591845,7.7%,climate_adaptation
Iceland,El Salvador,0.2394032031,0.0693857919,29%,climate_adaptation
Slovak Republic,Afghanistan,0.5765409673,0.0674813744,11.7%,climate_adaptation
Czechia,Haiti,0.0660083980,0.0660083980,100%,climate_adaptation
Portugal,Sao Tome and Principe,14.3496119757,0.0657524144,0.5%,climate_adaptation
Czechia,Indonesia,0.1035505774,0.0549373077,53.1%,climate_adaptation
Portugal,Côte d'Ivoire,0.2578879560,0.0545444852,21.2%,climate_adaptation
Iceland,Türkiye,0.3617796963,0.0485143686,13.4%,climate_adaptation
Iceland,Syrian Arab Republic,1.3887130609,0.0440110194,3.2%,climate_adaptation
Slovak Republic,Moldova,1.1970180072,0.0330146545,2.8%,climate_adaptation
Lithuania,Ukraine,3.3737814768,0.0271927525,1.5%,climate_adaptation
Portugal,Cuba,0.1920532304,0.0219736877,11.4%,climate_adaptation
Lithuania,Moldova,0.2455968550,0.0217022235,16.2%,climate_adaptation
Slovak Republic,Ukraine,1.6250550063,0.0204868967,1.3%,climate_adaptation
Lithuania,Côte d'Ivoire,0.0511452244,0.0177501082,100%,climate_adaptation
Lithuania,Belarus,3.2375469730,0.0161952323,1.3%,climate_adaptation
Portugal,El Salvador,0.0883419808,0.0153193000,17.3%,climate_adaptation
Slovak Republic,North Macedonia,0.4022979643,0.0094620001,2.4%,climate_adaptation
Latvia,Uzbekistan,0.2735351244,0.0067000053,2.4%,climate_adaptation
Lithuania,Türkiye,0.9714698606,0.0066780812,1.1%,climate_adaptation
Slovak Republic,Albania,0.4311627282,0.0066002897,1.5%,climate_adaptation
Slovenia,Comoros,0.0065528311,0.0065528311,100%,climate_adaptation
Latvia,Ghana,0.0007696072,0.0007696072,100%,climate_adaptation
Latvia,Viet Nam,0.1149865802,0.0007696072,100%,climate_adaptation
Latvia,Ukraine,0.8690510794,0.0002934473,0%,climate_adaptation
All DAC members,Mali,1 273.36529648,181.061997735,18.4%,desertification
All DAC members,Ethiopia,3 101.67140471,172.805344249,11%,desertification
All DAC members,Niger,1 014.18439833,161.659800064,23.7%,desertification
All DAC members,Mexico,1 148.28168702,152.435039426,19%,desertification
All DAC members,Philippines,1 698.70772655,105.061185602,7.1%,desertification
All DAC members,Burkina Faso,933.45088848,103.685332369,15.2%,desertification
All DAC members,Côte d'Ivoire,1 001.86534523,97.55344904,13.9%,desertification
All DAC members,Egypt,2 706.04887000,88.4456299,9.2%,desertification
Germany,Niger,178.06661231,87.631920616,49.3%,desertification
All DAC members,India,5 524.27105582,85.428896727,1.8%,desertification
All DAC members,Tunisia,1 330.57772631,84.311297846,8.2%,desertification
Germany,Tunisia,550.62374519,80.961136523,14.7%,desertification
Germany,Ethiopia,492.70681110,77.99230211,15.8%,desertification
EU Institutions,Mali,203.42297075,68.329389846,33.6%,desertification
Germany,Mali,151.50122969,67.198631023,44.6%,desertification
Japan,India,2 800.66151815,49.60573477,1.8%,desertification
Korea,Colombia,70.37726541,45.369193216,70.1%,desertification
EU Institutions,Rwanda,81.48607966,42.861162721,52.6%,desertification
Germany,Burkina Faso,126.26349262,37.671208491,29.8%,desertification
United Kingdom,Ethiopia,222.36596460,34.771501932,15.8%,desertification
EU Institutions,Iraq,240.69864961,33.716377448,14%,desertification
Germany,India,1 512.38161635,31.996698031,2.1%,desertification
EU Institutions,Niger,151.53996050,31.058813566,21.5%,desertification
EU Institutions,Burkina Faso,65.45292563,31.058813566,47.5%,desertification
EU Institutions,Haiti,86.25116788,30.506302604,35.4%,desertification
Germany,China (People's Republic of),492.90972037,28.681029371,5.8%,desertification
EU Institutions,Egypt,1 593.40225186,24.100613284,32.5%,desertification
Germany,Chad,34.39860569,23.209882587,67.5%,desertification
EU Institutions,Yemen,251.65105912,21.741169496,8.6%,desertification
