donor_name_e,variable,2023,2024,marker
United Kingdom,Total of aid focused on policy objective,1930.61930593101,3801.2787521166,environment
United Kingdom,Not targeted,1925.66947338832,4055.37341795832,environment
United Kingdom,Not screened,2013.94205387558,673.743783037605,environment
United Kingdom,Total bilateral allocable aid,5870.23083319492,8530.39595311252,environment
United Kingdom,as % of screened aid,50.0641787068597,48.3829329570581,environment
United Kingdom,Total bilateral non-allocable aid,4141.33532053752,4363.2182738969,environment
United States,Principal objective,1916.96855495588,2300.595874,environment
United States,Significant objective,5224.50843589248,5145.938773,environment
United States,Total of aid focused on policy objective,7141.47699084836,7446.534647,environment
United States,Not targeted,37602.8892495289,38775.159062,environment
United States,Not screened,0,0,environment
United States,Total bilateral allocable aid,44744.3662403773,46221.693709,environment
United States,as % of screened aid,15.9606171478274,16.1104755136873,environment
United States,Total bilateral non-allocable aid,13965.6050665069,12717.917306,environment
Greece,Principal objective,0.213958629479645,0.0854025706251352,environment
Greece,Significant objective,,,environment
Greece,Total of aid focused on policy objective,0.213958629479645,0.0854025706251352,environment
Greece,Not targeted,3.96411877862561,11.511516828899,environment
Greece,Not screened,,,environment
Greece,Total bilateral allocable aid,4.17807740810525,11.5969193995241,environment
Greece,as % of screened aid,5.12098289669254,0.736424628670263,environment
Greece,Total bilateral non-allocable aid,53.1514806773858,54.4446014492754,environment
Estonia,Principal objective,2.58580265875867,1.09452736318408,environment
Estonia,Significant objective,0.328284511459796,0.239022279904824,environment
Estonia,Total of aid focused on policy objective,2.91408717021846,1.3335496430889,environment
Estonia,Not targeted,12.9245162456911,27.190136275146,environment
Estonia,Not screened,3.75053811722561,0.376378974691759,environment
Estonia,Total bilateral allocable aid,19.5891415331352,28.9000648929267,environment
Estonia,as % of screened aid,18.3986371379898,4.67523603685588,environment
Estonia,Total bilateral non-allocable aid,42.6960989442078,9.65390439108804,environment
Poland,Principal objective,4.03718699757106,14.4668046509909,environment
Poland,Significant objective,4.61920335106393,13.8501426446207,environment
Poland,Total of aid focused on policy objective,8.65639034863499,28.3169472956116,environment
Poland,Not targeted,133.555953683621,121.587820599497,environment
Poland,Not screened,132.488544946325,17.8126852221824,environment
Poland,Total bilateral allocable aid,274.700888978581,167.717453117291,environment
Poland,as % of screened aid,6.08694723903264,18.8899577333161,environment
Poland,Total bilateral non-allocable aid,1606.35396404253,579.802287308166,environment
Slovak Republic,Principal objective,0.595536969138072,0.687806619,environment
Slovak Republic,Significant objective,2.63270704979133,7.698769199,environment
Slovak Republic,Total of aid focused on policy objective,3.2282440189294,8.386575818,environment
Slovak Republic,Not targeted,31.5590633449965,17.911355022,environment
Slovak Republic,Not screened,0.016773798986082,0.15898767,environment
Slovak Republic,Total bilateral allocable aid,34.804081162912,26.45691851,environment
Slovak Republic,as % of screened aid,9.27994795675695,31.890629985397,environment
Slovak Republic,Total bilateral non-allocable aid,4.79294873292416,12.853496749,environment
Lithuania,Principal objective,4.01366111817159,1.63414838848,environment
Lithuania,Significant objective,4.9837614440056,0.874647858546,environment
Lithuania,Total of aid focused on policy objective,8.99742256217719,2.508796247026,environment
Lithuania,Not targeted,27.3252291196112,65.856520993569,environment
Lithuania,Not screened,42.7374978222212,10.213411984957,environment
Lithuania,Total bilateral allocable aid,79.0601495040095,78.578729225552,environment
Lithuania,as % of screened aid,24.7708307229353,3.66969151652863,environment
Lithuania,Total bilateral non-allocable aid,39.4882061854276,16.794169736812,environment
Australia,Principal objective,204.18362834707,174.260704246714,gender
Australia,Significant objective,1171.66597539935,1443.19543935674,gender
Australia,Total of aid focused on policy objective,1375.84960374642,1617.45614360346,gender
Australia,Not targeted,1111.13070235593,723.847902728538,gender
Australia,Not screened,,,gender
Australia,Total bilateral allocable aid,2486.98030610234,2341.304046332,gender
Australia,as % of screened aid,55.3220948461262,69.0835582049861,gender
Australia,Total bilateral non-allocable aid,287.833151111826,661.839305760095,gender
Austria,Principal objective,28.9257325838189,32.8603933592905,gender
Austria,Significant objective,227.309482083785,187.152141239455,gender
Austria,Total of aid focused on policy objective,256.235214667604,220.012534598745,gender
Austria,Not targeted,212.706774680612,220.059217229072,gender
Austria,Not screened,0.39395879069276,0.0178297966688298,gender
Austria,Total bilateral allocable aid,469.335948138908,440.089581624486,gender
Austria,as % of screened aid,54.6411326961244,49.994696020577,gender
Austria,Total bilateral non-allocable aid,549.653010683639,402.275709658231,gender
Belgium,Principal objective,54.0264754577109,50.1670032554618,gender
Belgium,Significant objective,540.207369017525,496.330409939433,gender
Belgium,Total of aid focused on policy objective,594.233844475236,546.497413194895,gender
Belgium,Not targeted,170.963970430622,94.5760401254597,gender
Belgium,Not screened,216.090175104649,241.530197847718,gender
Belgium,Total bilateral allocable aid,981.287990010506,882.603651168073,gender
Belgium,as % of screened aid,77.6575459181551,85.2472381073314,gender
Belgium,Total bilateral non-allocable aid,458.736113675234,569.393786545533,gender
Canada,Principal objective,488.352811246882,136.084339458142,gender
Canada,Significant objective,2093.07943855957,1162.64138777256,gender
Canada,Total of aid focused on policy objective,2581.43224980645,1298.7257272307,gender
Canada,Not targeted,2159.07679194367,1998.29754618918,gender
Canada,Not screened,,6.53296350364964,gender
Canada,Total bilateral allocable aid,4740.50904175012,3303.55623692353,gender
Canada,as % of screened aid,54.4547479410234,39.390857131669,gender
Canada,Total bilateral non-allocable aid,2022.10395962474,2129.46806473288,gender
Denmark,Principal objective,114.101500990163,138.660852914304,gender
Denmark,Significant objective,642.717908599439,857.684495897205,gender
Denmark,Total of aid focused on policy objective,756.819409589603,996.345348811509,gender
Denmark,Not targeted,516.309988996296,989.595900532247,gender
Denmark,Not screened,320.05031036227,23.0891499601178,gender
Denmark,Total bilateral allocable aid,1593.17970894817,2009.03039930387,gender
Denmark,as % of screened aid,59.445599986162,50.1699307137483,gender
Denmark,Total bilateral non-allocable aid,382.183728937809,352.193325601497,gender
EU Institutions,Principal objective,631.411594007567,371.629977720095,gender
EU Institutions,Significant objective,12581.3780255691,13012.3855100584,gender
EU Institutions,Total of aid focused on policy objective,13212.7896195766,13384.0154877785,gender
EU Institutions,Not targeted,8088.02641466767,9241.780975557,gender
EU Institutions,Not screened,,,gender
EU Institutions,Total bilateral allocable aid,21300.8160342443,22625.7964633355,gender
EU Institutions,as % of screened aid,62.0294997071242,59.1537871803406,gender
EU Institutions,Total bilateral non-allocable aid,22307.0150630274,20301.1546201601,gender
Finland,Principal objective,9.37097878600786,19.8926853774605,gender
Finland,Significant objective,285.621927434827,266.1704467878,gender
Finland,Total of aid focused on policy objective,294.992906220835,286.063132165261,gender
Finland,Not targeted,157.76064000341,125.395297586297,gender
Finland,Not screened,112.835254338328,,gender
Finland,Total bilateral allocable aid,565.588800562573,411.458429751557,gender
Finland,as % of screened aid,65.1552944600741,69.5241879812715,gender
Finland,Total bilateral non-allocable aid,315.605610733284,338.635994711346,gender
France,Principal objective,623.055824143264,444.508111760369,gender
France,Significant objective,3647.2876086702,4308.61793373675,gender
France,Total of aid focused on policy objective,4270.34343281346,4753.12604549712,gender
France,Not targeted,4291.7096365719,3713.12043177367,gender
France,Not screened,959.865782640238,348.483084655754,gender
France,Total bilateral allocable aid,9521.91885202559,8814.72956192655,gender
France,as % of screened aid,49.8752273339975,56.1420702581453,gender
France,Total bilateral non-allocable aid,3030.14583466525,3161.72883813541,gender
Germany,Principal objective,1100.67980543871,1086.39144580308,gender
Germany,Significant objective,12839.4603831869,11995.0125154337,gender
Germany,Total of aid focused on policy objective,13940.1401886256,13081.4039612368,gender
Germany,Not targeted,6488.06300197128,3488.10339229606,gender
Germany,Not screened,337.257018910835,1876.9603187018,gender
Germany,Total bilateral allocable aid,20765.4602095077,18446.4676722347,gender
Germany,as % of screened aid,68.2396785393355,78.9486596199112,gender
Germany,Total bilateral non-allocable aid,11263.1643242879,10389.0330425507,gender
Iceland,Principal objective,10.5759140486837,11.3770030479,gender
Iceland,Significant objective,43.3981142245181,39.9018857569,gender
Iceland,Total of aid focused on policy objective,53.9740282732018,51.2788888048,gender
Iceland,Not targeted,18.2897133055044,17.6205807866,gender
Iceland,Not screened,,,gender
Iceland,Total bilateral allocable aid,72.2637415787062,68.8994695914,gender
Iceland,as % of screened aid,74.6903316851036,74.4256655514234,gender
Iceland,Total bilateral non-allocable aid,19.8141804031848,20.107077318,gender
Ireland,Principal objective,69.9067614178649,74.1851496339864,gender
Ireland,Significant objective,365.349729775011,361.25822491368,gender
Ireland,Total of aid focused on policy objective,435.256491192876,435.443374547666,gender
Ireland,Not targeted,133.444156388423,191.689492778745,gender
Ireland,Not screened,72.0236502157802,21.9904387518927,gender
Ireland,Total bilateral allocable aid,640.724297797079,649.123306078304,gender
Ireland,as % of screened aid,76.5352550667975,69.433990344669,gender
Ireland,Total bilateral non-allocable aid,1602.56954940478,1132.1576951287,gender
Italy,Principal objective,57.5135698658978,48.9169118159204,gender
Italy,Significant objective,469.501133422156,523.191417036917,gender
Italy,Total of aid focused on policy objective,527.014703288054,572.108328852837,gender
Italy,Not targeted,379.018357181018,1232.38002397181,gender
Italy,Not screened,228.022299841949,211.898074172615,gender
Italy,Total bilateral allocable aid,1134.05536031102,2016.38642699726,gender
Italy,as % of screened aid,58.1672707412252,31.7047393493724,gender
Italy,Total bilateral non-allocable aid,1580.83597130466,1996.7029703926,gender
Japan,Principal objective,106.235402387752,319.507180578276,gender
Japan,Significant objective,13547.9685971016,6530.67763575621,gender
Japan,Total of aid focused on policy objective,13654.2039994894,6850.18481633449,gender
Japan,Not targeted,9993.40667876806,6294.60310385322,gender
Japan,Not screened,1965.03120577341,1114.37996535248,gender
Japan,Total bilateral allocable aid,25612.6418840309,14259.1678855402,gender
Japan,as % of screened aid,57.7403112105681,52.1133156192958,gender
Japan,Total bilateral non-allocable aid,1323.50308154759,691.381700888208,gender
Korea,Principal objective,70.5239630433758,275.466138,gender
Korea,Significant objective,1166.53071804859,1105.291064,gender
